,id,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Other Reason,Year,PopMale,PopFemale,PopTotal,PopDensity
66,84,Belize,Latin America and Caribbean,49,5.956,0.807,1.101,0.474,0.593,0.089,0.183,2.709,2018,190.798,192.273,383.071,16.794
67,204,Benin,Sub-Saharan Africa,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.060929015,0.207948461,1.88584435,2017,5574.297,5600.895,11175.192,99.106
68,204,Benin,Sub-Saharan Africa,153,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10846,2016,5420.569,5451.503,10872.072,96.418
69,204,Benin,Sub-Saharan Africa,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175,3.05,2019,5891.256,5909.895,11801.151,104.657
70,204,Benin,Sub-Saharan Africa,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163,2.481,2018,5731.239,5753.796,11485.035,101.854
71,204,Benin,Sub-Saharan Africa,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63319,2015,5270.132,5305.83,10575.962,93.792
72,64,Bhutan,Southern Asia,97,5.011000156,0.885416389,1.340126514,0.495879292,0.501537681,0.17338039,0.474054545,1.140605345,2017,394.499,351.064,745.563,19.56
73,64,Bhutan,Southern Asia,84,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82955,2016,389.21,347.496,736.706,19.327
74,64,Bhutan,Southern Asia,95,5.082,0.813,1.321,0.604,0.457,0.167,0.37,1.35,2019,405.032,358.062,763.094,20.02
75,64,Bhutan,Southern Asia,97,5.082,0.796,1.335,0.527,0.541,0.171,0.364,1.348,2018,399.81,354.586,754.396,19.792
76,64,Bhutan,Southern Asia,79,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63807,2015,384.018,343.867,727.885,19.096
77,68,Bolivia (Plurinational State of),Latin America and Caribbean,58,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.060477726,0.225560725,2.443222709,2017,5622.487,5570.366,11192.853,10.332
78,68,Bolivia (Plurinational State of),Latin America and Caribbean,59,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91624,2016,5543.317,5488.505,11031.822,10.184
79,68,Bolivia (Plurinational State of),Latin America and Caribbean,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137,2.376,2019,5779.611,5733.491,11513.102,10.628
80,68,Bolivia (Plurinational State of),Latin America and Caribbean,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141,2.469,2018,5701.161,5651.979,11353.14,10.48
81,68,Bolivia (Plurinational State of),Latin America and Caribbean,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82356,2015,5463.444,5406.288,10869.732,10.034
82,70,Bosnia and Herzegovina,Central and Eastern Europe,90,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.0,0.328867495,1.891797826,2017,1642.272,1709.262,3351.534,65.716
83,70,Bosnia and Herzegovina,Central and Eastern Europe,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263,1.903,2019,1616.799,1684.199,3300.998,64.725
84,70,Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,2.48384,2016,1659.723,1726.54,3386.263,66.397
85,70,Bosnia and Herzegovina,Central and Eastern Europe,93,5.129,0.915,1.078,0.758,0.28,0.0,0.216,1.882,2018,1628.375,1695.554,3323.929,65.175
86,70,Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.064,2015,1681.343,1748.019,3429.362,67.242
87,72,Botswana,Sub-Saharan Africa,142,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.098583199,0.099348448,0.377467394,2017,1062.469,1142.607,2205.076,3.891
88,72,Botswana,Sub-Saharan Africa,137,3.974,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96753,2016,1039.714,1120.211,2159.925,3.811
89,72,Botswana,Sub-Saharan Africa,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,0.184,2019,1114.116,1189.587,2303.703,4.065
90,72,Botswana,Sub-Saharan Africa,146,3.59,1.017,1.174,0.417,0.557,0.092,0.042,0.291,2018,1088.021,1166.046,2254.067,3.977
91,72,Botswana,Sub-Saharan Africa,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46175,2015,1021.216,1099.5,2120.716,3.742
92,76,Brazil,Latin America and Caribbean,22,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.111092761,0.162349895,2.768892258,2017,102232.088,105601.737,207833.825,24.866
93,76,Brazil,Latin America and Caribbean,17,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50726,2016,101450.192,104712.864,206163.056,24.666
94,76,Brazil,Latin America and Caribbean,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,2.48,2019,103733.16,107316.359,211049.519,25.251
95,76,Brazil,Latin America and Caribbean,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2.593,2018,102996.239,106473.081,209469.32,25.062
96,76,Brazil,Latin America and Caribbean,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26043,2015,100657.516,103814.243,204471.759,24.464
97,100,Bulgaria,Central and Eastern Europe,105,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.011051531,0.113177694,0.996483055,2017,3451.943,3650.509,7102.452,65.424
98,100,Bulgaria,Central and Eastern Europe,129,4.217,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15419,2016,3477.208,3674.74,7151.948,65.88
99,100,Bulgaria,Central and Eastern Europe,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081,1.195,2019,3400.054,3600.063,7000.117,64.482
100,100,Bulgaria,Central and Eastern Europe,100,4.933,1.054,1.515,0.712,0.359,0.009,0.064,1.22,2018,3426.089,3625.521,7051.61,64.956
101,100,Bulgaria,Central and Eastern Europe,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89941,2015,3501.634,3698.105,7199.739,66.32
102,854,Burkina Faso,Sub-Saharan Africa,134,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.120328106,0.250864685,1.727087446,2017,9571.848,9621.388,19193.236,70.151
103,854,Burkina Faso,Sub-Saharan Africa,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177,2.275,2019,10147.774,10173.609,20321.383,74.274
104,854,Burkina Faso,Sub-Saharan Africa,145,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87298,2016,9292.515,9353.835,18646.35,68.152
105,854,Burkina Faso,Sub-Saharan Africa,121,4.424,0.314,1.097,0.254,0.312,0.128,0.175,2.144,2018,9856.874,9894.592,19751.466,72.191
106,854,Burkina Faso,Sub-Saharan Africa,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46503,2015,9018.772,9091.844,18110.616,66.194
107,108,Burundi,Sub-Saharan Africa,154,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.084147945,0.204435185,1.683489144,2017,5365.496,5461.514,10827.01,421.613
108,108,Burundi,Sub-Saharan Africa,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149,1.752,2018,5540.53,5634.849,11175.379,435.178
109,108,Burundi,Sub-Saharan Africa,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10451,2016,5195.257,5292.745,10488.002,408.411
110,108,Burundi,Sub-Saharan Africa,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176,2.326,2019,5718.988,5811.589,11530.577,449.01
111,108,Burundi,Sub-Saharan Africa,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83348,2015,5030.735,5129.299,10160.034,395.64
112,116,Cambodia,Southeastern Asia,129,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.068105951,0.385922968,1.042808637,2017,7811.386,8198.027,16009.413,90.695
113,116,Cambodia,Southeastern Asia,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232,1.464,2019,8047.364,8439.178,16486.542,93.398
114,116,Cambodia,Southeastern Asia,140,3.907,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31569,2016,7691.291,8074.999,15766.29,89.317
115,116,Cambodia,Southeastern Asia,120,4.433,0.549,1.088,0.457,0.696,0.065,0.256,1.322,2018,7930.228,8319.567,16249.795,92.056
116,116,Cambodia,Southeastern Asia,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.9816,2015,7570.441,7950.994,15521.435,87.93
